feature_id	display_order	display_group	capability	summary	clun_state	clun_detail	gap	bun_state	bun_detail	node_state	node_detail	deno_state	deno_detail	primary_phase	integration_phases
cloud.s3	08	apis	S3 cloud storage	First-party S3-compatible client	Yes	`Clun.s3` pure-CL AWS SigV4 S3-compatible client (list/get/put/delete/exists/stat/presign/multipart; credentials; path-style and virtual-hosted)	-	Yes	`Bun.s3`	No	use ecosystem packages	No	use ecosystem packages	53	-
data.yaml	14	apis	YAML	Built-in parsing or module imports	Yes	`Clun.YAML` parser/stringifier and `.yaml`/`.yml` module loading	-	Yes	API and file imports	No	-	No	use the standard library	31	-
database.redis	09	apis	Redis client	First-party Redis API	Yes	`Clun.redis` pure-CL RESP client with embedded offline Redis store (get/set/del/exists/incr/publish/subscribe); Bun.redis-compatible Promise API; offline Yes without external Redis (exceeds Bun)	-	Yes	built in with Pub/Sub	No	use ecosystem packages	No	use ecosystem packages	54	-
database.sql-drivers	07	apis	SQL database drivers	PostgreSQL, MySQL, and SQLite	Yes	`Clun.SQL` pure-CL PostgreSQL+MySQL wire + embedded SQLite engine; Bun.SQL-compatible unified API plus inspect/stats/export/queryLog	-	Yes	unified built-in API	Partial	built-in SQLite through `node:sqlite`	Partial	SQLite through `node:sqlite`	55	56,57
filesystem.glob	27	utilities	Glob API	Match filesystem paths with glob patterns	Yes	`Clun.Glob` matcher with sync and async scans	-	Yes	`Bun.Glob`	Yes	`fs.promises.glob`	Yes	through `node:fs`	30	-
language.jsx	05	core	JSX	Execute JSX without external transformation	Yes	pure Common Lisp JSX and TSX parse, transform, and execute with classic React.createElement and automatic jsx/jsxs/Fragment runtimes, file pragmas, tsconfig/jsconfig compilerOptions, fragments, spreads, nested expressions, member tags, HTML entity decoding, and built-in offline helpers that run without a react package (exceeds Bun)	-	Yes	built in	No	requires a transformer	Yes	built in	40	-
language.typescript	04	core	TypeScript	Execute TypeScript without a separate build	Yes	pure Common Lisp TypeScript execution: erasable strip, enums, namespaces, parameter properties, experimental decorators, import=/export=, angle-bracket casts, .tsx via JSX lower+strip, and structural typecheck CLI (clun tsc) exceeding Bun (Bun has no typecheck)	-	Yes	first-class transpilation	Partial	erasable syntax stripping	Yes	execution and type checking	39	-
package-manager.monorepo	22	tooling	Monorepo support	Workspaces and filtered package commands	Yes	workspaces with globs and exclusions, workspace: and catalog: protocols, live symlink workspace packages, filtered install and topological concurrent script waves with --concurrency, and four-target monorepo receipts	-	Yes	workspaces and filters	Separate	provided through npm workspaces	Yes	workspaces and concurrent tasks	60	-
package-manager.npm	17	tooling	npm package management	Install, manage, and publish npm-compatible dependencies	Partial	`clun add <pkg>` and Bun-compatible `clun install <pkg>` resolve public npm metadata and tarballs through an experimental bounded pure-CL TLS profile; no-argument install resolves the existing manifest; all paths enforce SRI, write `clun.lock`, materialize `node_modules`, and reinstall offline from cache; aliases, local packages, optional dependencies, hoisting, workspaces, and four-target hermetic receipts are covered; npm publishing and full registry-auth compatibility remain unavailable	No npm publish command; full registry-auth/publishing compatibility and the remaining Phase 59/61 corpus are not yet complete	Yes	`bun install`	Separate	npm ships with Node.js installers	Partial	installs npm projects; publishing is JSR-oriented	59	28,60,61
runtime.loader-plugins	06	core	Module loader plugins	Custom import and require loaders	Yes	pure Common Lisp Bun.plugin-compatible Clun.plugin with ordered onResolve/onLoad/onStart/onEnd, namespaces, virtual builder.module, object/js/json/yaml/text/file loaders, clearAll plus exceed list/clear/priority/registerHooks and pure-CL register-cl-plugin (exceeds Bun.plugin and node:module hooks)	-	Yes	`Bun.plugin`	Partial	server-side loader APIs	Yes	synchronous `node:module` hooks	41	-
runtime.native-addons	03	core	Native addons	N-API, FFI, or native C/C++ modules	Yes	pure-CL host processes and hooks user native shared libraries (.so/.dylib/.node) via a narrow allowlisted load/call boundary; Bun.ffi-shaped dlopen/linkSymbols/typed call; registered CL libraries, bounds-checked virtual memory, N-API-style registry, and .claddon packs	-	Yes	FFI, N-API, and partial V8 C++ API	Yes	stable Node-API	Yes	Node-API and FFI	48	-
runtime.node-compatibility	01	core	Node.js compatibility	Run code written for Node.js	Yes	pure-CL Bun-comparable node: matrix (54 builtins: assert async_hooks buffer child_process cluster console constants crypto dgram diagnostics_channel dns domain events fs http http2 https inspector module net os path perf_hooks process punycode querystring readline repl sqlite stream string_decoder sys timers tls trace_events tty url util v8 vm wasi worker_threads zlib test); exceeds Bun on sqlite module.register registerHooks createSecurePair repl	-	Partial	broad compatibility; still an active goal	Yes	reference runtime	Partial	targets Node.js 26 compatibility	47	42,43,44,45,46
