feature_id	target	support_state	evidence_ids	note
cloud.s3	darwin-arm64	supported	ev.cloud.s3.core-suite.v1,ev.cloud.s3.decision.v1,ev.cloud.s3.public.v1	Pure-CL AWS SigV4 S3 client; Bun.s3 surface plus copy/batch-delete/hermetic mock.
cloud.s3	darwin-x64	supported	ev.cloud.s3.core-suite.v1,ev.cloud.s3.decision.v1,ev.cloud.s3.public.v1	Pure-CL AWS SigV4 S3 client; Bun.s3 surface plus copy/batch-delete/hermetic mock.
cloud.s3	linux-arm64	supported	ev.cloud.s3.core-suite.v1,ev.cloud.s3.decision.v1,ev.cloud.s3.public.v1	Pure-CL AWS SigV4 S3 client; Bun.s3 surface plus copy/batch-delete/hermetic mock.
cloud.s3	linux-x64	supported	ev.cloud.s3.core-suite.v1,ev.cloud.s3.decision.v1,ev.cloud.s3.public.v1	Pure-CL AWS SigV4 S3 client; Bun.s3 surface plus copy/batch-delete/hermetic mock.
data.yaml	darwin-arm64	supported	ev.data.yaml.api-differential.v1,ev.data.yaml.bun-402.v1,ev.data.yaml.module-loading.v1	The complete public surface executes through the shipped binary.
data.yaml	darwin-x64	supported	ev.data.yaml.api-differential.v1,ev.data.yaml.bun-402.v1,ev.data.yaml.module-loading.v1	The complete public surface executes through the shipped binary.
data.yaml	linux-arm64	supported	ev.data.yaml.api-differential.v1,ev.data.yaml.bun-402.v1,ev.data.yaml.module-loading.v1	The complete public surface executes through the shipped binary.
data.yaml	linux-x64	supported	ev.data.yaml.api-differential.v1,ev.data.yaml.bun-402.v1,ev.data.yaml.module-loading.v1	The complete public surface executes through the shipped binary.
database.redis	darwin-arm64	supported	ev.database.redis.basic.v1	Clun.redis pure-CL embedded store exercises on shipped binary
database.redis	darwin-x64	supported	ev.database.redis.basic.v1	Clun.redis pure-CL embedded store exercises on shipped binary
database.redis	linux-arm64	supported	ev.database.redis.basic.v1	Clun.redis pure-CL embedded store exercises on shipped binary
database.redis	linux-x64	supported	ev.database.redis.basic.v1	Clun.redis pure-CL embedded store exercises on shipped binary
database.sql-drivers	darwin-arm64	supported	ev.database.sql-drivers.core-suite.v1,ev.database.sql-drivers.public.v1	Pure-CL Clun.SQL (PG/MySQL wire + SQLite engine); four-target receipts.
database.sql-drivers	darwin-x64	supported	ev.database.sql-drivers.core-suite.v1,ev.database.sql-drivers.public.v1	Pure-CL Clun.SQL (PG/MySQL wire + SQLite engine); four-target receipts.
database.sql-drivers	linux-arm64	supported	ev.database.sql-drivers.core-suite.v1,ev.database.sql-drivers.public.v1	Pure-CL Clun.SQL (PG/MySQL wire + SQLite engine); four-target receipts.
database.sql-drivers	linux-x64	supported	ev.database.sql-drivers.core-suite.v1,ev.database.sql-drivers.public.v1	Pure-CL Clun.SQL (PG/MySQL wire + SQLite engine); four-target receipts.
filesystem.glob	darwin-arm64	supported	ev.filesystem.glob.adversarial.v1,ev.filesystem.glob.api.v1,ev.filesystem.glob.match-corpus.v1,ev.filesystem.glob.oracle.v1,ev.filesystem.glob.scan.v1,ev.filesystem.glob.stress.v1,ev.filesystem.glob.upstream-match.v1	The complete public surface executes through the shipped binary.
filesystem.glob	darwin-x64	supported	ev.filesystem.glob.adversarial.v1,ev.filesystem.glob.api.v1,ev.filesystem.glob.match-corpus.v1,ev.filesystem.glob.oracle.v1,ev.filesystem.glob.scan.v1,ev.filesystem.glob.stress.v1,ev.filesystem.glob.upstream-match.v1	The complete public surface executes through the shipped binary.
filesystem.glob	linux-arm64	supported	ev.filesystem.glob.adversarial.v1,ev.filesystem.glob.api.v1,ev.filesystem.glob.match-corpus.v1,ev.filesystem.glob.oracle.v1,ev.filesystem.glob.scan.v1,ev.filesystem.glob.stress.v1,ev.filesystem.glob.upstream-match.v1	The complete public surface executes through the shipped binary.
filesystem.glob	linux-x64	supported	ev.filesystem.glob.adversarial.v1,ev.filesystem.glob.api.v1,ev.filesystem.glob.match-corpus.v1,ev.filesystem.glob.oracle.v1,ev.filesystem.glob.scan.v1,ev.filesystem.glob.stress.v1,ev.filesystem.glob.upstream-match.v1	The complete public surface executes through the shipped binary.
language.jsx	darwin-arm64	supported	ev.language.jsx.basic.v1,ev.language.jsx.classic.v1,ev.language.jsx.component.v1,ev.language.jsx.entities.v1,ev.language.jsx.fragment.v1,ev.language.jsx.nested.v1,ev.language.jsx.pragma.v1,ev.language.jsx.spread.v1,ev.language.jsx.tsx.v1	The complete public JSX/TSX surface executes through the shipped binary.
language.jsx	darwin-x64	supported	ev.language.jsx.basic.v1,ev.language.jsx.classic.v1,ev.language.jsx.component.v1,ev.language.jsx.entities.v1,ev.language.jsx.fragment.v1,ev.language.jsx.nested.v1,ev.language.jsx.pragma.v1,ev.language.jsx.spread.v1,ev.language.jsx.tsx.v1	The complete public JSX/TSX surface executes through the shipped binary.
language.jsx	linux-arm64	supported	ev.language.jsx.basic.v1,ev.language.jsx.classic.v1,ev.language.jsx.component.v1,ev.language.jsx.entities.v1,ev.language.jsx.fragment.v1,ev.language.jsx.nested.v1,ev.language.jsx.pragma.v1,ev.language.jsx.spread.v1,ev.language.jsx.tsx.v1	The complete public JSX/TSX surface executes through the shipped binary.
language.jsx	linux-x64	supported	ev.language.jsx.basic.v1,ev.language.jsx.classic.v1,ev.language.jsx.component.v1,ev.language.jsx.entities.v1,ev.language.jsx.fragment.v1,ev.language.jsx.nested.v1,ev.language.jsx.pragma.v1,ev.language.jsx.spread.v1,ev.language.jsx.tsx.v1	The complete public JSX/TSX surface executes through the shipped binary.
language.typescript	darwin-arm64	supported	ev.language.typescript.angle-cast.v1,ev.language.typescript.annotations.v1,ev.language.typescript.class-decorator.v1,ev.language.typescript.decorator.v1,ev.language.typescript.enum-basic.v1,ev.language.typescript.export-eq.v1,ev.language.typescript.import-eq.v1,ev.language.typescript.namespace-runtime.v1,ev.language.typescript.param-prop.v1,ev.language.typescript.tsx-run.v1,ev.language.typescript.typecheck.v1	Full TypeScript execution strip+transforms+structural typecheck via shipped binary (Issue #192).
language.typescript	darwin-x64	supported	ev.language.typescript.angle-cast.v1,ev.language.typescript.annotations.v1,ev.language.typescript.class-decorator.v1,ev.language.typescript.decorator.v1,ev.language.typescript.enum-basic.v1,ev.language.typescript.export-eq.v1,ev.language.typescript.import-eq.v1,ev.language.typescript.namespace-runtime.v1,ev.language.typescript.param-prop.v1,ev.language.typescript.tsx-run.v1,ev.language.typescript.typecheck.v1	Full TypeScript execution strip+transforms+structural typecheck via shipped binary (Issue #192).
language.typescript	linux-arm64	supported	ev.language.typescript.angle-cast.v1,ev.language.typescript.annotations.v1,ev.language.typescript.class-decorator.v1,ev.language.typescript.decorator.v1,ev.language.typescript.enum-basic.v1,ev.language.typescript.export-eq.v1,ev.language.typescript.import-eq.v1,ev.language.typescript.namespace-runtime.v1,ev.language.typescript.param-prop.v1,ev.language.typescript.tsx-run.v1,ev.language.typescript.typecheck.v1	Full TypeScript execution strip+transforms+structural typecheck via shipped binary (Issue #192).
language.typescript	linux-x64	supported	ev.language.typescript.angle-cast.v1,ev.language.typescript.annotations.v1,ev.language.typescript.class-decorator.v1,ev.language.typescript.decorator.v1,ev.language.typescript.enum-basic.v1,ev.language.typescript.export-eq.v1,ev.language.typescript.import-eq.v1,ev.language.typescript.namespace-runtime.v1,ev.language.typescript.param-prop.v1,ev.language.typescript.tsx-run.v1,ev.language.typescript.typecheck.v1	Full TypeScript execution strip+transforms+structural typecheck via shipped binary (Issue #192).
package-manager.monorepo	darwin-arm64	supported	ev.package-manager.monorepo.e2e.v1	Workspace discovery, workspace:/catalog: install, live symlinks, filtered concurrent scripts pass through the shipped binary.
package-manager.monorepo	darwin-x64	supported	ev.package-manager.monorepo.e2e.v1	Workspace discovery, workspace:/catalog: install, live symlinks, filtered concurrent scripts pass through the shipped binary.
package-manager.monorepo	linux-arm64	supported	ev.package-manager.monorepo.e2e.v1	Workspace discovery, workspace:/catalog: install, live symlinks, filtered concurrent scripts pass through the shipped binary.
package-manager.monorepo	linux-x64	supported	ev.package-manager.monorepo.e2e.v1	Workspace discovery, workspace:/catalog: install, live symlinks, filtered concurrent scripts pass through the shipped binary.
